,age,occupation,marriage status,education level,balance,housing,loan,have termed deposit,credit_scores,credit_conditions
0,58,management,married,tertiary,2143,yes,no,no,3233,above mean
1,44,technician,single,secondary,29,yes,no,no,1119,above mean
2,33,entrepreneur,married,secondary,2,yes,yes,no,-4733,below zero
3,47,blue-collar,married,unknown,1506,yes,no,no,2596,above mean
4,33,unknown,single,unknown,1,no,no,no,1,below mean
5,35,management,married,tertiary,231,yes,no,no,1321,above mean
6,28,management,single,tertiary,447,yes,yes,no,-4288,below zero
7,42,entrepreneur,divorced,tertiary,2,yes,no,no,1092,above mean
8,58,retired,married,primary,121,yes,no,no,1211,above mean
9,43,technician,single,secondary,593,yes,no,no,1683,above mean
10,41,admin.,divorced,secondary,270,yes,no,no,1360,above mean
11,29,admin.,single,secondary,390,yes,no,no,1480,above mean
12,53,technician,married,secondary,6,yes,no,no,1096,above mean
13,58,technician,married,unknown,71,yes,no,no,1161,above mean
14,57,services,married,secondary,162,yes,no,no,1252,above mean
15,51,retired,married,primary,229,yes,no,no,1319,above mean
16,45,admin.,single,unknown,13,yes,no,no,1103,above mean
17,57,blue-collar,married,primary,52,yes,no,no,1142,above mean
18,60,retired,married,primary,60,yes,no,no,1150,above mean
19,33,services,married,secondary,0,yes,no,no,1090,above mean
20,28,blue-collar,married,secondary,723,yes,yes,no,-4012,below zero
21,56,management,married,tertiary,779,yes,no,no,1869,above mean
22,32,blue-collar,single,primary,23,yes,yes,no,-4712,below zero
23,25,services,married,secondary,50,yes,no,no,1140,above mean
24,40,retired,married,primary,0,yes,yes,no,-4735,below zero
25,44,admin.,married,secondary,-372,yes,no,no,718,below mean
26,39,management,single,tertiary,255,yes,no,no,1345,above mean
27,52,entrepreneur,married,secondary,113,yes,yes,no,-4622,below zero
28,46,management,single,secondary,-246,yes,no,no,844,below mean
29,36,technician,single,secondary,265,yes,yes,no,-4470,below zero
30,57,technician,married,secondary,839,no,yes,no,-4986,below zero
31,49,management,married,tertiary,378,yes,no,no,1468,above mean
32,60,admin.,married,secondary,39,yes,yes,no,-4696,below zero
33,59,blue-collar,married,secondary,0,yes,no,no,1090,above mean
34,51,management,married,tertiary,10635,yes,no,no,11725,above mean
35,57,technician,divorced,secondary,63,yes,no,no,1153,above mean
36,25,blue-collar,married,secondary,-7,yes,no,no,1083,above mean
37,53,technician,married,secondary,-3,no,no,no,-3,below zero
38,36,admin.,divorced,secondary,506,yes,no,no,1596,above mean
39,37,admin.,single,secondary,0,yes,no,no,1090,above mean
40,44,services,divorced,secondary,2586,yes,no,no,3676,above mean
41,50,management,married,secondary,49,yes,no,no,1139,above mean
42,60,blue-collar,married,unknown,104,yes,no,no,1194,above mean
43,54,retired,married,secondary,529,yes,no,no,1619,above mean
44,58,retired,married,unknown,96,yes,no,no,1186,above mean
45,36,admin.,single,primary,-171,yes,no,no,919,below mean
46,58,self-employed,married,tertiary,-364,yes,no,no,726,below mean
47,44,technician,married,secondary,0,yes,no,no,1090,above mean
48,55,technician,divorced,secondary,0,no,no,no,0,below mean
49,29,management,single,tertiary,0,yes,no,no,1090,above mean
50,54,blue-collar,married,secondary,1291,yes,no,no,2381,above mean
51,48,management,divorced,tertiary,-244,yes,no,no,846,below mean
52,32,management,married,tertiary,0,yes,no,no,1090,above mean
53,42,admin.,single,secondary,-76,yes,no,no,1014,below mean
54,24,technician,single,secondary,-103,yes,yes,no,-4838,below zero
55,38,entrepreneur,single,tertiary,243,no,yes,no,-5582,below zero
56,38,management,single,tertiary,424,yes,no,no,1514,above mean
57,47,blue-collar,married,unknown,306,yes,no,no,1396,above mean
58,40,blue-collar,single,unknown,24,yes,no,no,1114,above mean
59,46,services,married,primary,179,yes,no,no,1269,above mean
60,32,admin.,married,tertiary,0,yes,no,no,1090,above mean
61,53,technician,divorced,secondary,989,yes,no,no,2079,above mean
62,57,blue-collar,married,primary,249,yes,no,no,1339,above mean
63,33,services,married,secondary,790,yes,no,no,1880,above mean
64,49,blue-collar,married,unknown,154,yes,no,no,1244,above mean
65,51,management,married,tertiary,6530,yes,no,no,7620,above mean
66,60,retired,married,tertiary,100,no,no,no,100,below mean
67,59,management,divorced,tertiary,59,yes,no,no,1149,above mean
68,55,technician,married,secondary,1205,yes,no,no,2295,above mean
69,35,blue-collar,single,secondary,12223,yes,yes,no,7488,above mean
70,57,blue-collar,married,secondary,5935,yes,yes,no,1200,above mean
71,31,services,married,secondary,25,yes,yes,no,-4710,below zero
72,54,management,married,secondary,282,yes,yes,no,-4453,below zero
73,55,blue-collar,married,primary,23,yes,no,no,1113,above mean
